"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude"
"46675","5/13/1983 17:00","london (uk/england)",NA,"gb","disk","120","2 mins","silver disc sighted on Waterloo Bridge&#44 London&#44 England in 1983",2005-06-20,51.514125,-0.093689
"47276","5/15/2003 22:00","northallerton (uk/england)",NA,"gb","disk","30","about 30 seconds","Myself and my sister saw a saucer shaped object in Norththern England",2003-10-07,54.333333,-1.433333
"47325","5/15/2005 16:00","london (uk/london)",NA,"gb","disk","240","4mins","I have this craft on tape IF YOU WISH TO HAVE A COPY OF IT",2005-10-11,51.514125,-0.093689
"48843","5/22/2012 16:40","swansea (uk/england)",NA,"gb","disk","60","1min","Disk shaped craft seen moving silently from south west to the south east reflecting sunlight from the top of the craft.",2012-05-29,51.633333,-3.966667
"48949","5/23/2007 15:45","petersfield (uk/england)",NA,"gb","disk","0",NA,"This was taken in my back garden with a 30 shot in 5 seconds burst. 2 pictures out of 30 had this object in.",2007-06-12,51,-0.933333
"50568","5/4/2001 21:30","glasgow (uk/scotland)",NA,"gb","disk","0",NA,"A silver disc&#44 hovered and moved side to side. Faded away at the end.",2001-08-05,55.833333,-4.25
"50795","5/5/2003 01:43","sheffield (uk/england)",NA,"gb","disk","0","15","we were out in the woods walking our dog when my brother started talkin about the stars. so we were all looking and we saw this shootin",2003-05-09,53.366667,-1.5
"50821","5/5/2005 17:00","hampshire (uk/england)",NA,"gb","disk","300","5mintes 5 secs","Romsey school and abbey-five identical accounts.  ((NUFORC Note:  May not be a serious report.  PD))",2005-05-24,51.083333,-1.166667
"51581","5/9/2009 01:30","sunningdale (uk/england)",NA,"gb","disk","180","3 minutes","controlled craft&#44 no sound&#44 of a very large size.",2009-05-12,51.383333,-0.616667
"52485","6/1/1976 22:00","canterbury (uk/england)",NA,"gb","disk","900","approx 10-15 mins","Silent saucer shaped craft joining up with a very bright white light",2008-08-12,51.266667,1.083333
"53042","6/1/1997 13:00","liverpool (uk/england)",NA,"gb","disk","600","10minutes","My name is Wayne.  I am 43 years of age.  This event took place in 1997.  It has haunted me ever since.  My son was 9 years of age at t",2006-05-15,53.416667,-3
"54177","6/15/1966 24:00","caversham (reading) (uk/england)",NA,"gb","disk","900","15mins","spinning disc present in back garden grass area&#44 close to house.",2002-08-16,51.466667,-0.966667
"54407","6/15/1980 10:30","southampton (uk/england)",NA,"gb","disk","60","1 minute","silver domed saucer spotted in southampton england 1980",2003-03-04,50.9,-1.4
"54423","6/15/1981 10:00","reading (uk/england)",NA,"gb","disk","60","1 minute","Bright silver disc flying alongside Concorde&#44 before flying off at extreme speed",2003-03-21,51.433333,-1
"55205","6/16/2007 20:31","birmingham (uk/england)",NA,"gb","disk","180","3 mins","2min 31 secs video footage of ufo over birmingham uk June 16th 2007",2007-08-07,52.466667,-1.916667
"55670","6/18/2009 23:05","glasgow (uk/scotland)",NA,"gb","disk","15","00:00:15","As my mother and i were looking through the window outside our back garden from inside the house at approx 23:05 we noticed a circular",2009-08-05,55.833333,-4.25
"56565","6/2/1986 18:00","wiltshire (uk/england)",NA,"gb","disk","3600","1 hour","Close Encounter With Three Disc Craft&#44 February 1986",2005-10-20,51.25,-1.916667
"56885","6/22/2010 18:00","kettering (uk/england)",NA,"gb","disk","20","10 - 20 secs","Transparent or Camouflauged Craft which I spot on a clear day.",2010-07-06,52.4,-0.716667
"57797","6/26/2002 10:30","airdrie (uk/scotland)",NA,"gb","disk","0","0","PHOTO OF UFO",2002-07-01,55.85,-3.983333
"57855","6/26/2006 10:40","north queensferry (uk/scotland)",NA,"gb","disk","5","under 5 secs","UFO over Fife&#44 Scotland?",2006-07-16,56,-3.4
"58949","6/30/1993 24:00","gateshead (uk/england)",NA,"gb","disk","600","10 minutes","2 flat discs flying in zigzagged patterns.",2009-03-19,54.945,-1.6175
"59098","6/30/2003 19:30","lincolnshire (uk/england)",NA,"gb","disk","1200","20 minutes","1 craft seen caught our attention made us go out to see&#44 brought back 6 (7 all together)",2013-02-18,53.166667,-0.25
"60310","6/7/2005 20:25","shoreham-by-sea (uk/england)",NA,"gb","disk","60","1 minute-2 minutes","Well we saw a bright light with a disk shape underneath. And then a ladder seemed to be coming out but then went back inside the &quot;craft",2005-10-11,50.833333,-0.233333
"60515","6/8/2006 15:00","shropshire (uk/england)",NA,"gb","disk","120","2mins","((HOAX??))  round",2007-04-27,52.666667,-2.75
